,total_enrollment,total_price,year,for_profit,private,public,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state_code,off_campus,on_campus,two_year,four_year,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,asian_enrollment,white_enrollment,black_enrollment,american_indian_alaska_native_enrollment,hispanic_enrollment
8681,3510.0,18360,2018,0.0,0.0,1.0,5552.660016,6525.095840999999,8227.115794,12139.49781,13327.00146,33,1.0,0.0,1.0,0.0,4020.0,4467,8487,4903,8923,35.0,1909.0,24.0,73.0,1229.0
8682,3510.0,18065,2017,0.0,0.0,1.0,5463.442439,6420.253615,8094.926298,11944.44597,13112.86935,33,1.0,0.0,1.0,0.0,4020.0,4467,8487,4903,8923,35.0,1909.0,24.0,73.0,1229.0
8683,3510.0,17842,2016,0.0,0.0,1.0,5396.0,6341.0,7995.0,11797.0,12951.0,33,1.0,0.0,1.0,0.0,4020.0,4467,8487,4903,8923,35.0,1909.0,24.0,73.0,1229.0
8684,3510.0,14414,2017,0.0,0.0,1.0,5463.442439,6420.253615,8094.926298,11944.44597,13112.86935,33,0.0,1.0,1.0,0.0,4020.0,4467,8487,4903,8923,35.0,1909.0,24.0,73.0,1229.0
8685,3510.0,14313,2016,0.0,0.0,1.0,5396.0,6341.0,7995.0,11797.0,12951.0,33,0.0,1.0,1.0,0.0,4020.0,4467,8487,4903,8923,35.0,1909.0,24.0,73.0,1229.0
8686,3510.0,14760,2018,0.0,0.0,1.0,5552.660016,6525.095840999999,8227.115794,12139.49781,13327.00146,33,0.0,1.0,1.0,0.0,4020.0,4467,8487,4903,8923,35.0,1909.0,24.0,73.0,1229.0
8687,4558.0,54071,2017,0.0,1.0,0.0,32114.69724,33231.0496,36839.62769,38911.67652,40438.93717,23,1.0,0.0,0.0,1.0,14190.0,33950,48140,33950,48140,285.0,2792.0,212.0,10.0,155.0
8688,4558.0,52504,2016,0.0,1.0,0.0,31184.0,32268.0,35772.0,37784.0,39267.0,23,0.0,1.0,0.0,1.0,14190.0,33950,48140,33950,48140,285.0,2792.0,212.0,10.0,155.0
8689,4558.0,52504,2016,0.0,1.0,0.0,31184.0,32268.0,35772.0,37784.0,39267.0,23,1.0,0.0,0.0,1.0,14190.0,33950,48140,33950,48140,285.0,2792.0,212.0,10.0,155.0
8690,4558.0,53390,2018,0.0,1.0,0.0,31710.22703,32812.51943,36375.64909,38421.6014,39929.62689,23,1.0,0.0,0.0,1.0,14190.0,33950,48140,33950,48140,285.0,2792.0,212.0,10.0,155.0
